uren;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;;;;
9-8-2023;29,73723316;;;;;;;;;;;;;;;;;;;;;;;;;;;
10-8-2023;29,80516941;;;;;;;;;;;;;;;;;;;;;;;;;;;
11-8-2023;29,87326086;;;;;;;;;;;;;;;;;;;;;;;;;;;
12-8-2023;29,94150787;;;;;;;;;;;;;;;;;;;;;;;;;;;
13-8-2023;30,00991079;;;;;;;;;;;;;;;;;;;;;;;;;;;
14-8-2023;30,07846999;;;;;;;;;;;;;;;;;;;;;;;;;;;
15-8-2023;30,14718581;;;;;;;;;;;;;;;;;;;;;;;;;;;
16-8-2023;30,21605861;;;;;;;;;;;;;;;;;;;;;;;;;;;
17-8-2023;30,28508876;;;;;;;;;;;;;;;;;;;;;;;;;;;
18-8-2023;30,35427661;;;;;;;;;;;;;;;;;;;;;;;;;;;
19-8-2023;30,42362253;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-8-2023;30,49312687;;;;;;;;;;;;;;;;;;;;;;;;;;;
21-8-2023;30,56278999;;;;;;;;;;;;;;;;;;;;;;;;;;;
22-8-2023;30,63261227;;;;;;;;;;;;;;;;;;;;;;;;;;;
23-8-2023;30,70259406;;;;;;;;;;;;;;;;;;;;;;;;;;;
24-8-2023;30,77273572;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-8-2023;30,84303763;;;;;;;;;;;;;;;;;;;;;;;;;;;
26-8-2023;30,91350014;;;;;;;;;;;;;;;;;;;;;;;;;;;
27-8-2023;30,98412363;;;;;;;;;;;;;;;;;;;;;;;;;;;
28-8-2023;31,05490847;;;;;;;;;;;;;;;;;;;;;;;;;;;
29-8-2023;31,12585501;;;;;;;;;;;;;;;;;;;;;;;;;;;
30-8-2023;31,19696364;;;;;;;;;;;;;;;;;;;;;;;;;;;
31-8-2023;31,26823471;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-9-2023;31,33966861;;;;;;;;;;;;;;;;;;;;;;;;;;;
2-9-2023;31,41126571;;;;;;;;;;;;;;;;;;;;;;;;;;;
3-9-2023;31,48302637;;;;;;;;;;;;;;;;;;;;;;;;;;;
4-9-2023;31,55495097;;;;;;;;;;;;;;;;;;;;;;;;;;;
5-9-2023;31,62703989;;;;;;;;;;;;;;;;;;;;;;;;;;;
6-9-2023;31,6992935;;;;;;;;;;;;;;;;;;;;;;;;;;;
7-9-2023;31,77171217;;;;;;;;;;;;;;;;;;;;;;;;;;;
8-9-2023;31,84429629;;;;;;;;;;;;;;;;;;;;;;;;;;;
9-9-2023;31,91704624;;;;;;;;;;;;;;;;;;;;;;;;;;;
10-9-2023;31,98996238;;;;;;;;;;;;;;;;;;;;;;;;;;;
11-9-2023;32,0630451;;;;;;;;;;;;;;;;;;;;;;;;;;;
12-9-2023;32,13629479;;;;;;;;;;;;;;;;;;;;;;;;;;;
13-9-2023;32,20971182;;;;;;;;;;;;;;;;;;;;;;;;;;;
14-9-2023;32,28329657;;;;;;;;;;;;;;;;;;;;;;;;;;;
15-9-2023;32,35704943;;;;;;;;;;;;;;;;;;;;;;;;;;;
16-9-2023;32,43097078;;;;;;;;;;;;;;;;;;;;;;;;;;;
17-9-2023;32,50506101;;;;;;;;;;;;;;;;;;;;;;;;;;;
18-9-2023;32,57932051;;;;;;;;;;;;;;;;;;;;;;;;;;;
19-9-2023;32,65374965;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-9-2023;32,72834883;;;;;;;;;;;;;;;;;;;;;;;;;;;
21-9-2023;32,80311844;;;;;;;;;;;;;;;;;;;;;;;;;;;
22-9-2023;32,87805886;;;;;;;;;;;;;;;;;;;;;;;;;;;
23-9-2023;32,95317048;;;;;;;;;;;;;;;;;;;;;;;;;;;
24-9-2023;33,02845371;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-9-2023;33,10390892;;;;;;;;;;;;;;;;;;;;;;;;;;;
26-9-2023;33,17953651;;;;;;;;;;;;;;;;;;;;;;;;;;;
27-9-2023;33,25533688;;;;;;;;;;;;;;;;;;;;;;;;;;;
28-9-2023;33,33131042;;;;;;;;;;;;;;;;;;;;;;;;;;;
